TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,PER_CAPITA_INCOME
0,101,,0,R,2,46,U,F,,0,N,0,,655,219,77,0,46,24,53,0,0,A,1,0.071,21,0,0,1,0,11,25,103,7,14.71,16,21,5,21,4,10,26,90,12671
1,137,,0,R,2,43,U,F,,1,N,0,1,475,227,70,0,30,33,29,1,1,S,2,0.35,10,0.5,10,7,5,44,110,186,31,6,9,11,2,10,9,22,22,129,10221
0,125,73,0,?,?,.,U,F,5,0,B,17,9,706,299,76,0,0,0,0,1,1,S,2,0.15,8.33,0.111,10,3,1,38,98,201,33,6.09,8,10,2,10,6,15,18,124,12426
1,77,81,0,R,2,45,U,M,4,1,B,24,3,530,236,81,1,34,19,46,1,0,A,4,0.5,9.64,0.455,9.8,11,5,33,90,270,29,9.31,10,15,5,15,11,29,6,89,12208
0,65,76,0,S,2,20,U,F,2,1,B,7,7,813,255,48,0,47,24,23,1,0,A,1,0.19,16.25,0.182,17.5,4,2,37,99,277,24,11.54,20,25,5,15,11,27,20,89,13079
0,125,,0,?,?,.,U,F,,0,N,0,3,910,240,53,0,0,0,0,1,1,S,4,0.545,10.83,0.364,11,12,4,46,131,670,76,8.82,17,20,3,11,10,28,15,125,19388
0,101,69,0,S,2,16,H,F,3,1,B,32,6,663,340,68,1,25,37,33,1,1,S,2,0.389,11.57,0.333,10.67,7,3,33,96,255,26,9.81,15,20,5,10,8,21,12,92,13347
1,77,45,0,C,3,30,H,M,2,0,B,4,2,550,387,83,0,49,43,37,1,1,S,4,0.438,6.14,0.571,6,7,4,29,79,122,22,5.55,5,8,3,7,9,25,5,87,20210
0,65,71,0,T,2,40,H,M,3,0,B,0,7,2222,450,86,2,34,26,43,0,0,A,1,0.1,17.5,0,0,2,0,16,44,90,7,12.86,15,20,5,20,5,12,26,88,29771
0,89,43,0,U,2,07,H,M,4,1,P,0,4,1296,358,52,3,30,53,10,1,0,A,1,0.438,12.86,0.5,12.25,7,4,24,68,200,21,9.52,10,15,5,10,9,26,5,87,13619
1,89,87,0,S,2,20,U,F,1,0,B,6,4,469,222,42,0,46,17,39,1,0,A,2,0.35,12.86,0.364,12.5,7,4,39,94,261,24,10.88,12,15,3,12,11,23,17,87,10469
0,89,55,0,?,?,.,H,F,4,0,P,0,,490,152,63,0,0,0,0,0,0,A,1,0.071,19,0,0,1,0,19,49,164,14,11.71,17,20,3,19,5,12,25,87,9807
1,77,77,0,T,1,34,U,U,,0,N,0,6,2156,331,41,0,42,0,60,1,0,A,2,0.238,14,0.5,14,5,5,33,91,186,16,11.63,12,17,5,14,11,29,5,87,24742
1,89,37,0,C,1,23,U,F,5,1,B,7,9,1765,327,72,0,50,14,71,0,0,A,4,0.364,25.88,0.455,27,8,5,40,107,470,21,22.38,25,35,10,35,11,27,8,87,27674
0,89,52,0,S,2,16,H,M,5,1,B,10,4,610,297,90,0,33,20,37,0,0,A,3,0.143,11.33,0.2,10.5,3,2,33,88,134,14,9.57,8,13,5,10,8,20,20,87,13018
1,17,30,0,T,1,35,H,M,6,1,B,11,,1117,544,87,1,27,70,21,0,0,F,1,0.077,20,0.2,20,1,1,13,39,76,9,8.44,15,20,5,20,5,14,20,87,18212
0,89,43,0,R,2,49,H,M,3,1,B,1,,542,301,65,0,24,62,26,0,0,A,1,0.063,25,0,0,1,0,18,45,109,7,15.57,15,25,10,25,5,12,26,87,9742
0,89,77,0,T,3,41,H,M,1,0,B,0,0,312,117,65,0,23,7,64,1,0,A,1,0.5,20,0.545,20,10,6,32,82,380,23,16.52,15,20,5,20,11,30,4,87,5016
0,89,,0,C,2,25,U,M,4,0,M,0,,1125,255,0,0,14,39,13,0,0,A,1,0.077,23,0,0,1,0,12,35,87,5,17.4,8,23,15,23,4,14,19,87,16041
0,89,37,0,U,4,10,H,F,6,0,B,0,9,5435,1375,97,0,29,30,33,1,1,S,2,0.118,32.5,0.222,32.5,2,2,26,58,209,10,20.9,25,35,10,35,10,24,15,87,42851
1,89,67,0,R,2,49,U,F,,0,N,0,4,517,327,83,0,27,32,25,1,19,A,1,0.2,14,0.111,11,4,1,37,106,297,27,11,20,25,5,15,9,26,7,86,12605
0,89,65,0,U,1,01,H,F,6,1,B,2,,1489,402,26,0,38,55,25,0,0,E,1,0.143,15,0,0,1,0,9,29,59,5,11.8,5,15,10,15,2,12,15,86,22959
0,89,77,0,U,3,09,H,F,5,1,B,7,,4872,221,10,1,12,11,17,0,0,A,1,0.067,17,0,0,1,0,14,39,101,7,14.43,5,17,12,17,5,13,25,85,14394
1,53,59,0,U,1,01,H,F,5,0,P,0,7,3100,133,28,0,20,18,0,1,1,S,2,0.286,13,0.2,13,6,2,26,70,284,21,13.52,20,25,5,10,9,21,18,85,18262
1,137,75,0,U,1,02,H,M,6,1,B,1,7,2257,485,84,0,43,28,41,1,10,A,1,0.333,8.83,0.444,8.75,6,4,42,114,247,38,6.5,5,10,5,10,10,24,19,129,17885
0,101,42,0,S,1,12,H,M,6,1,B,2,,787,375,94,0,24,36,0,0,0,A,1,0.118,18,0,0,2,0,21,59,89,7,12.71,14,19,5,19,4,13,17,91,14366
0,89,,0,?,?,.,U,F,,0,N,0,2,343,162,77,0,0,0,0,1,0,A,1,0.125,12.5,0,0,2,0,22,51,85,10,8.5,10,15,5,15,6,17,18,85,8371
0,41,,0,S,1,14,U,M,,1,N,0,6,2439,521,47,0,34,27,29,0,0,A,1,0.1,19,0,0,2,0,28,68,163,9,18.11,28,33,5,20,9,22,15,85,21808
1,5,,0,T,2,40,U,F,2,0,B,0,,789,413,97,0,31,16,7,0,0,A,3,0.278,5.4,0.222,6,5,2,15,43,70,12,5.83,7,10,3,5,5,12,18,85,14123
1,89,79,0,U,1,02,H,F,7,1,P,0,9,1857,594,93,0,25,9,65,0,0,A,1,0.067,16,0,0,1,0,18,60,111,7,15.86,10,20,10,16,4,15,20,84,27547
1,89,58,0,?,?,.,U,U,2,0,P,0,,765,408,89,0,0,0,0,0,0,A,1,0.063,20,0.125,20,1,1,21,52,335,10,33.5,30,50,20,35,8,21,7,83,15150
0,77,,0,T,3,41,U,F,1,0,M,0,2,453,199,79,0,21,40,40,1,10,A,1,0.444,11.25,0.556,11,8,5,24,68,356,32,11.13,10,15,5,15,6,17,4,81,9591
1,29,,0,C,2,28,U,M,,0,N,0,,709,256,75,0,39,9,57,0,0,A,3,0.15,10,0.273,10,3,3,25,59,105,11,9.55,10,15,5,10,6,15,18,80,13576
0,89,45,0,T,2,40,H,F,6,1,B,12,8,1400,318,77,0,25,30,29,0,0,A,1,0.1,25,0.111,25,2,1,30,72,159,12,13.25,20,25,5,25,11,27,6,81,14928
1,77,56,0,U,4,10,U,F,1,0,B,2,,550,91,10,0,19,46,31,1,1,S,4,0.5,5,0.364,5,11,4,34,90,154,28,5.5,7,10,3,5,11,25,8,80,10050
0,125,80,0,T,2,37,U,F,,0,N,0,4,1688,325,70,0,33,28,39,1,1,S,2,0.136,15,0.273,15,3,3,25,60,145,15,9.67,10,15,5,15,7,14,25,124,16023
0,137,82,0,T,2,36,H,F,5,0,P,0,3,550,218,80,0,40,26,42,1,3,A,1,0.3,10,0.556,10.4,6,5,45,120,321,42,7.64,11,13,2,10,9,22,6,130,10815
1,89,82,0,S,1,15,U,F,4,1,M,2,4,1024,225,8,1,22,33,23,0,0,A,1,0.188,13.33,0.125,10,3,1,22,58,100,10,10,10,15,5,10,9,22,6,78,16782
0,89,64,0,T,2,39,H,F,2,1,B,2,,684,282,61,0,32,26,17,1,0,A,3,0.364,7.88,0.455,7.4,8,5,32,76,133,23,5.78,13,16,3,5,10,24,13,78,13025
0,29,,0,R,1,42,U,U,,0,N,0,,1039,525,92,3,36,50,33,0,0,N,1,0.059,20,0.125,20,1,1,16,36,110,7,15.71,10,20,10,20,5,11,24,78,19249
0,89,75,0,S,1,14,H,M,5,1,B,15,,2003,909,98,0,27,33,19,0,0,A,1,0.063,33,0,0,1,0,23,54,173,6,28.83,8,33,25,33,8,19,26,78,32344
1,89,,0,T,2,38,U,M,,0,N,0,,535,192,38,0,21,19,22,0,0,A,1,0.059,15,0,0,1,0,16,38,44,7,6.29,12,15,3,15,4,10,24,77,11878
0,89,58,0,?,?,.,U,F,2,0,P,0,1,266,222,80,0,0,0,0,1,11,A,1,0.15,11.67,0.111,10,3,1,38,97,142,16,8.88,10,15,5,15,11,26,18,78,9958
0,137,48,0,S,2,18,H,F,2,0,B,0,8,1221,436,75,0,31,29,26,0,0,A,2,0.211,13,0.111,16,4,1,39,90,152,14,10.86,11,16,5,10,8,22,17,111,20091
1,125,85,0,T,2,36,H,F,2,1,P,0,2,340,180,67,0,29,27,46,1,0,A,1,0.063,16,0.1,16,1,1,39,89,368,24,15.33,20,25,5,21,7,15,9,119,9343
1,77,,0,R,2,48,H,F,2,0,P,0,2,789,200,81,0,47,19,55,0,0,A,1,0.579,11.27,0.7,10.57,11,7,25,78,328,37,8.86,12,15,3,11,8,27,4,77,9717
0,89,59,0,C,1,24,H,F,7,1,B,18,,2573,582,82,0,30,54,8,1,0,A,1,0.25,30,0.444,30,4,4,25,56,210,10,21,45,50,5,18,11,24,16,79,19730
0,77,47,0,T,1,35,H,F,7,1,B,2,,3770,564,83,0,48,32,49,0,0,A,1,0.059,25,0,0,1,0,21,48,141,7,20.14,12,25,13,25,7,15,25,76,30842
1,89,,0,S,2,18,U,F,,0,N,0,,1821,454,79,0,24,36,54,1,0,A,2,0.267,12.5,0.143,10,4,1,23,58,96,13,7.38,12,15,3,10,11,27,4,78,17008
0,137,76,0,?,?,.,U,M,,0,N,0,2,303,161,74,0,0,0,0,1,1,S,2,0.182,8.5,0.091,10,4,1,37,95,144,33,4.36,8,10,2,10,7,19,21,129,8520
1,113,80,0,T,2,37,H,M,5,1,B,2,3,711,223,97,0,58,5,86,1,0,A,1,0.25,29,0.364,28.25,5,4,43,108,315,12,26.25,20,35,15,20,11,28,16,109,14751
0,77,42,0,U,3,08,H,M,5,1,B,3,7,480,343,82,0,32,19,57,0,0,A,1,0.059,25,0.111,25,1,1,23,51,165,7,23.57,5,25,20,25,8,16,24,76,17493
0,89,70,0,C,1,23,U,F,,0,N,0,8,1459,377,66,0,39,14,42,1,0,A,2,0.25,15.4,0.182,11.5,5,2,31,79,224,16,14,20,25,5,25,9,24,6,78,19935
0,53,,0,U,2,07,H,F,4,0,B,10,3,2475,281,22,0,7,17,29,0,0,A,1,0.118,15,0,0,2,0,23,71,107,9,11.89,15,20,5,15,8,26,8,76,14765
0,77,,0,U,1,03,U,U,,0,N,0,,2440,362,36,0,19,34,29,0,0,A,1,0.125,37.5,0.25,37.5,2,2,16,38,210,7,30,15,40,25,25,7,16,4,76,17769
0,29,56,0,T,2,36,H,M,4,1,B,1,,689,296,70,0,45,35,37,1,1,S,4,0.316,8,0.5,7.6,6,5,17,45,60,8,7.5,5,10,5,10,6,16,18,75,11819
0,137,,0,U,3,08,U,F,1,0,P,0,1,1608,337,88,0,19,71,10,1,1,S,4,0.35,5,0.364,5,7,4,41,104,235,47,5,0,5,5,5,6,15,18,130,10580
1,77,81,1,S,1,13,H,F,4,0,P,0,8,2865,534,92,0,33,14,52,1,0,A,2,0.35,19.57,0.364,21,7,4,34,93,419,27,15.52,25,30,5,20,9,25,6,80,24571
0,137,70,0,C,3,31,U,F,,0,N,0,0,1781,105,11,0,10,0,45,1,8,A,1,0.1,8,0.111,5,2,1,41,96,180,48,3.75,10,11,1,11,4,10,26,123,5381
0,137,63,0,T,1,35,H,M,5,1,M,6,9,1361,665,98,0,22,39,22,1,13,A,1,0.3,9.83,0.222,9,6,2,42,116,237,30,7.9,6,11,5,9,9,26,7,122,21294
0,77,40,0,S,1,14,H,F,7,0,P,0,8,914,507,92,2,47,65,18,1,0,A,1,0.1,27.5,0.111,40,2,1,34,92,239,13,18.38,35,40,5,40,9,23,19,76,16840
1,65,32,0,U,2,05,H,M,6,1,B,4,7,1801,495,79,0,37,26,31,1,0,A,1,0.333,20.14,0.6,20,7,6,32,90,331,17,19.47,10,25,15,25,11,26,10,73,18663
0,41,53,0,T,2,40,H,F,3,1,B,4,5,742,369,89,1,35,32,11,0,0,A,2,0.143,18.33,0,0,3,0,29,75,164,12,13.67,10,20,10,15,11,27,16,73,13642
0,89,,0,C,2,27,U,F,2,1,P,0,3,1720,299,53,7,39,54,28,0,0,A,1,0.105,15.5,0.1,16,2,1,28,70,148,12,12.33,11,16,5,15,5,14,26,80,14082
1,113,82,0,T,1,34,H,F,5,1,B,2,7,1714,342,77,0,29,43,57,1,1,S,2,0.1,13.5,0.111,15,2,1,32,87,205.08,23,8.92,14.92,15,0.08,15,7,17,21,100,18534
1,137,79,0,S,1,14,U,F,,0,N,0,9,2257,695,93,2,33,34,14,1,2,N,3,0.526,5.1,0.7,5.29,10,7,51,131,247,52,4.75,7,10,3,5,11,26,20,118,26427
0,65,73,0,S,1,12,H,M,7,1,B,2,,1407,578,82,0,29,36,25,1,0,A,4,0.579,6.18,0.7,5.57,11,7,30,76,104,18,5.78,6,8,2,8,10,22,17,68,21162
0,65,45,0,R,3,50,H,F,7,0,P,0,2,317,182,78,0,23,21,37,1,4,A,1,0.476,5.1,0.6,4.33,10,6,35,101,197,47,4.19,8,10,2,10,8,27,5,69,7839
0,137,86,0,?,?,.,U,F,,1,N,0,5,793,344,62,0,0,0,0,1,1,S,3,0.632,7.67,0.9,7.56,12,9,47,129,323,50,6.46,7,10,3,7,10,30,5,129,13429
0,137,,0,R,2,45,U,F,,0,N,0,4,407,214,74,0,30,35,28,1,1,S,2,0.3,30,0.364,26.25,6,4,46,124,645,27,23.89,40,50,10,50,10,27,6,121,10149
0,101,75,0,T,1,35,H,F,7,1,B,6,9,1125,550,90,0,40,18,63,1,0,A,2,0.286,9.83,0.3,10,6,3,38,103,175,22,7.95,7,11,4,10,10,26,13,92,28012
0,77,54,0,T,2,36,H,F,5,1,B,13,,508,269,70,0,37,30,35,0,0,A,1,0.067,15,0,0,1,0,17,46,97,11,8.82,10,15,5,15,5,15,24,68,15080
0,77,33,0,S,2,19,H,F,6,1,P,0,7,2051,417,67,1,18,43,25,1,1,S,4,0.364,26.38,0.545,27.5,8,6,39,106,453,30,15.1,35,40,5,38,11,25,21,76,13430
1,101,75,0,C,2,27,H,F,3,0,B,3,2,1215,296,49,1,33,46,26,0,0,A,1,0.15,40.67,0.091,36,3,1,31,86,361,16,22.56,40,50,10,36,9,22,18,105,12319
1,65,73,0,R,3,51,H,F,3,1,B,1,,240,232,77,0,27,23,31,1,0,A,4,0.476,2.8,0.8,2.75,10,8,28,64,52,23,2.26,4,5,1,2,10,18,7,69,10744
0,113,,0,R,1,42,U,U,,0,N,0,0,1212,298,74,0,38,31,44,1,7,A,1,0.2,11.5,0.2,8,4,2,32,80,105,16,6.56,17,20,3,15,10,23,4,105,15314
0,113,60,0,R,2,46,H,M,5,1,M,15,9,768,304,70,0,28,48,8,1,0,A,2,0.524,10.45,0.4,11.25,11,4,39,107,360,37,9.73,10,15,5,10,11,27,11,113,12793
1,125,67,0,U,1,02,U,F,,0,N,0,8,2250,539,80,0,36,34,25,1,3,A,1,0.182,10.25,0.273,10.33,4,3,45,107,192,25,7.68,9,12,3,10,8,22,23,122,18081
0,65,67,0,S,1,15,H,F,5,0,B,1,8,844,352,78,0,43,9,59,1,0,A,4,0.368,13,0.222,14,7,2,29,80,163,15,10.87,13,18,5,15,11,29,11,67,18534
1,77,52,0,C,1,22,U,M,2,1,P,0,2,613,146,2,0,12,18,15,0,0,A,1,0.063,15,0,0,1,0,19,49,105,6,17.5,15,25,10,20,7,19,5,66,13209
0,65,49,0,T,2,40,H,F,6,1,B,14,,864,404,86,0,30,36,45,0,0,A,1,0.063,40,0.125,40,1,1,20,51,140,5,28,15,40,25,40,7,18,21,64,13208
1,77,71,0,R,2,46,U,M,5,0,P,0,4,580,286,78,0,29,34,29,1,0,A,1,0.053,15,0,0,1,0,24,67,92,11,8.36,12,15,3,15,5,16,18,68,12400
1,125,87,0,S,2,17,H,F,5,1,B,23,5,1568,328,28,0,26,38,24,1,0,E,1,0.222,14,0.125,12,4,1,37,103,214,21,10.19,18,20,2,16,4,16,15,123,17761
0,137,7,0,S,1,11,H,F,5,1,B,8,,1227,471,60,20,36,57,18,1,0,A,3,0.19,6,0.2,7,4,2,38,93,114,25,4.56,4,7,3,7,6,13,21,124,17179
0,65,17,0,T,3,41,U,F,,0,N,0,1,348,178,80,2,45,36,33,1,0,A,1,0.5,13.11,0.889,12.88,9,8,22,72,220,19,11.58,11,16,5,16,7,21,4,65,10244
0,65,86,0,S,1,13,H,M,6,1,B,10,9,1638,703,79,2,60,35,63,0,0,A,1,0.111,29,0,0,2,0,18,45,148,6,24.67,16,31,15,31,3,7,26,64,37099
0,77,52,0,C,2,26,H,M,5,1,B,2,4,923,253,14,0,20,13,56,0,0,A,1,0.059,18,0,0,1,0,23,63,93,7,13.29,8,18,10,18,5,14,17,77,20273
1,65,57,0,C,2,27,H,M,5,1,B,12,7,860,392,89,0,40,39,20,1,1,S,4,0.5,19.4,0.455,18.8,10,5,36,105,580,34,17.06,20,25,5,21,11,35,4,64,13088
0,77,78,0,R,2,49,H,F,2,1,B,0,0,388,290,86,0,29,34,28,1,1,S,2,0.19,9.75,0.2,10,4,2,28,76,122,18,6.78,8,11,3,10,6,15,19,67,12373
0,41,,0,C,2,25,U,F,1,0,B,4,,528,196,42,10,19,36,10,1,0,A,3,0.222,5.75,0.5,5.75,4,4,13,33,42,10,4.2,9,10,1,5,6,14,16,64,9075
0,65,65,0,T,1,35,H,M,4,1,B,11,7,1629,483,87,0,26,35,30,0,0,A,1,0.063,15,0,0,1,0,18,54,51,5,10.2,10,15,5,15,4,14,18,64,15317
0,65,57,0,T,2,38,H,F,7,1,B,38,,665,279,59,4,44,45,12,0,0,A,1,0.095,19,0,0,2,0,27,70,155,12,12.92,17,21,4,20,8,18,21,64,12235
0,101,47,0,S,1,11,H,M,4,0,B,5,7,715,395,48,0,29,75,10,1,0,A,1,0.143,11.67,0.2,12.5,3,2,35,89,194,20,9.7,15,20,5,10,7,17,20,90,14175
0,77,57,0,S,1,13,H,M,1,1,B,2,8,925,354,89,0,43,32,33,1,1,S,3,0.263,6.8,0.444,6.75,5,4,21,52,79,12,6.58,5,10,5,7,6,13,18,69,17549
1,65,50,0,R,2,49,H,M,1,0,P,0,2,646,239,79,0,27,40,31,1,0,A,4,0.409,5.78,0.455,5.8,9,5,32,85,153,30,5.1,4,7,3,7,10,24,11,64,10757
1,89,53,0,C,2,28,H,F,7,1,B,6,8,586,349,89,0,32,35,47,1,0,A,1,0.176,10,0.375,10,3,3,27,71,73,10,7.3,10,15,5,15,4,10,24,88,15304
0,65,39,0,S,3,21,H,F,6,1,B,5,3,378,233,63,0,32,32,41,0,0,A,1,0.1,15,0.111,10,2,1,23,59,63,7,9,15,20,5,20,6,17,18,61,8807
0,77,,0,R,2,45,U,F,1,0,P,0,,529,163,69,0,37,19,43,1,0,A,4,0.2,5.25,0.333,5,4,3,30,76,91,18,5.06,1,6,5,5,6,16,16,65,8222
1,29,57,0,T,2,39,H,F,6,1,B,6,,695,222,67,24,35,26,12,1,1,S,4,0.5,8.2,0.6,8.83,10,6,27,68,150,20,7.5,8,13,5,8,11,24,4,63,9991
0,89,82,0,S,1,12,H,F,5,1,B,6,9,1001,584,98,1,30,29,25,1,1,S,2,0.15,13.33,0.182,12.5,3,2,23,62,110,10,11,10,15,5,15,6,15,18,88,18826
1,89,54,0,S,1,14,H,F,7,1,B,19,,2140,773,97,0,38,33,24,1,1,S,4,0.529,3.33,0.75,4,9,6,31,83,79,21,3.76,5,7,2,4,12,28,7,82,33069
1,137,66,0,R,2,46,H,F,5,0,B,20,3,385,207,78,0,25,36,38,1,1,S,1,0.318,15.29,0.364,15.75,7,4,44,115,530,35,15.14,23,26,3,15,11,31,6,127,12419
0,137,66,0,R,3,51,H,F,5,1,P,0,0,266,142,62,0,29,36,31,1,1,S,3,0.421,7.75,0.7,7.71,8,7,45,116,276,46,6,7,10,3,9,8,23,17,131,7906
1,137,75,0,T,1,35,H,M,5,0,B,1,9,1133,430,80,0,32,40,55,1,1,S,2,0.35,15.43,0.455,16.6,7,5,45,114,342,28,12.21,15,20,5,13,11,28,5,122,26361
0,137,39,0,R,2,49,H,F,2,1,B,0,1,459,315,94,0,34,45,27,1,1,S,3,0.389,9.14,0.5,9.4,7,5,33,91,269,50,5.38,10,12,2,9,4,11,20,130,10114
1,77,,0,C,1,23,H,M,4,1,B,16,6,1416,255,72,0,55,17,63,0,0,A,3,0.333,13.29,0.364,12,7,4,35,96,271,22,12.32,14,17,3,15,11,25,18,75,17990
1,113,,0,T,1,34,H,M,5,1,B,10,7,826,314,64,0,45,22,43,1,0,A,4,0.263,10.6,0.333,13,5,3,25,67,147,16,9.19,12,15,3,9,4,11,15,105,14958
0,137,50,0,R,1,42,H,M,5,1,B,4,7,585,250,73,0,39,46,32,1,14,A,1,0.048,22,0,0,1,0,35,86,202,29,6.97,19,22,3,22,6,16,18,126,10739
1,137,,0,T,2,38,U,F,,0,N,0,,1161,197,36,0,17,29,71,1,1,S,3,0.294,7.8,0.286,7,5,2,30,75,126,20,6.3,7,10,3,9,5,12,19,129,12764
1,125,69,0,S,1,14,U,M,,0,N,0,8,1437,583,97,0,24,55,6,1,1,S,3,0.318,8.57,0.182,10,7,2,41,108,234,25,9.36,7,12,5,5,11,30,7,121,18207
1,137,66,0,S,1,14,H,F,6,0,P,0,9,3528,814,96,0,36,27,28,1,1,S,4,0.286,5.83,0.545,5.83,6,6,34,100,265,43,6.16,7,10,3,5,5,19,18,126,25564
0,65,50,0,R,2,44,U,F,6,1,M,1,6,780,333,82,0,29,37,20,0,0,A,1,0.111,14.5,0.111,14,2,1,24,65,81,7,11.57,10,15,5,15,6,16,26,60,12811
0,125,63,0,R,2,44,H,F,4,1,B,25,7,714,437,87,0,33,27,21,1,4,A,1,0.35,11.43,0.6,11.67,7,6,34,92,284,26,10.92,20,25,5,15,5,16,12,124,14003
1,77,69,0,U,1,03,H,M,6,1,P,0,9,5817,931,84,0,27,8,52,1,4,A,1,0.429,10.56,0.6,11.67,9,6,34,100,315,32,9.84,19,20,1,10,10,27,6,76,91576
1,101,55,0,R,2,43,H,F,4,0,P,0,2,483,198,71,0,33,33,35,1,5,A,2,0.4,14.88,0.364,13.75,8,4,37,104,278,24,11.58,17,20,3,15,11,27,9,92,9290
1,137,86,0,?,?,.,U,M,4,0,M,0,6,882,380,73,0,0,0,0,1,1,S,4,0.526,13.6,0.545,14.5,10,6,40,105,374,33,11.33,12,16,4,12,11,29,5,131,18642
